Time,RV (km/s),RV err (km/s)
2460164.73814818,-13.0028430289388,0.00251790227381247
2460164.74496593,-13.0056542315424,0.00409505494827082
2460164.78617266,-13.0070946747919,0.00309163323308353
2460164.7949826,-13.0034671220775,0.00316188349366732
2460164.80610715,-13.0016586042427,0.0034802296663475
2460164.83002167,-13.0000435509244,0.00230676104228632
2460164.84012124,-12.9978886813817,0.00155738529354063
2460164.84973774,-13.0015811910324,0.00207362023002936
2460164.85718486,-13.0033106218255,0.00194460170561396
2460164.8648412,-13.0041469848376,0.00222473024759983
2460164.87238614,-12.9989194532187,0.00201541871040961
2460164.87985815,-12.9996904148418,0.00222449008567394
2460164.88747513,-13.0016742535244,0.00211605475317961
2460164.89478331,-13.0044802341563,0.00222610936597331
2460164.90281973,-13.0065290992309,0.00206718039442616
2460164.91010714,-13.0061795135794,0.00171611292402998
2460164.91779011,-13.0045828093809,0.00166483407124282
2460164.9234247,-13.0063200608872,0.00264115854302274
